x,y,z,source,class
13,41,36,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
13,41,36,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
13,37,33,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
11,38,35,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
13,37,36,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
15,38,35,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
14,39,35,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
13,37,34,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
13,38,35,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
13,37,37,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
14,38,37,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
13,37,38,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
11,39,38,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
12,39,38,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
11,38,36,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
13,39,38,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
15,37,37,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
16,38,37,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
16,38,37,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
16,36,37,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
16,38,37,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
15,38,37,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
14,38,37,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
13,38,36,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
11,37,38,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
8,40,36,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
1,39,35,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
0,38,35,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
1,39,34,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
7,39,35,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
11,38,35,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
12,37,34,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
15,36,32,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
17,37,34,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
17,37,33,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
18,37,33,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
20,37,33,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
19,37,33,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
19,37,32,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
18,38,33,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
16,37,33,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
15,36,33,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
13,39,33,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
8,37,32,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
8,38,33,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
5,39,35,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
3,37,32,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
2,39,32,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
8,36,34,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
15,34,35,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
14,36,36,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
14,34,36,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
17,34,35,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
17,36,36,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
19,37,36,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
20,36,35,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
20,35,35,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
21,36,36,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
19,37,36,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
17,37,37,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
15,38,36,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
13,38,37,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
11,39,38,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
10,39,37,Accelerometer-2012-06-06-14-08-44-climb_stairs-m7.txt,Climb_stairs
