x,y,z,source,class
22,29,50,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
22,29,50,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
21,29,49,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
22,28,50,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
23,29,49,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
22,30,50,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
21,28,49,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
21,28,50,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
22,29,50,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
21,29,49,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
22,30,50,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
23,30,49,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
21,30,48,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
23,32,49,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
23,31,48,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
23,33,48,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
23,32,48,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
23,32,49,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
22,33,48,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
24,32,48,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
22,31,49,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
22,33,48,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
22,29,50,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
23,29,50,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
21,30,51,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
20,30,52,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
20,30,51,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
19,30,51,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
19,31,51,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
20,29,50,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
20,29,51,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
20,31,50,Accelerometer-2011-04-08-17-33-10-sitdown_chair-f3.txt,Sitdown_chair
